Order ID,Quantity Ordered,Manufacturer Price,Sale Price,Total Profit (GMROI),CustomerKey,StateKey,OrderStatusKey,ReturnReasonKey,SaleAgentKey,ProductCatalogKey,DateKey
1467,4,100,126,26,1699,6,1,1,1,3,20221009
1518,9,105,117,12,1750,1,1,1,5,4,20221009
1540,7,595,725,130,1772,4,1,1,3,1,20221009
1581,9,35,38,3,1813,5,2,1,2,3,20221009
1589,5,1205,1541,336,1821,1,1,1,1,1,20221009
1597,1,1185,1489,304,1829,1,4,1,5,3,20221009
1614,17,890,1035,145,1846,3,1,1,1,6,20221009
1698,6,1080,1329,249,1930,5,2,1,2,7,20221009
1725,12,540,663,123,1957,5,2,1,1,1,20221009
1774,12,825,917,92,2006,1,2,1,5,4,20221009
1812,4,1340,1612,272,2044,5,2,1,5,1,20221009
1835,4,220,283,63,2067,6,2,1,5,5,20221009
1909,7,185,204,19,2140,6,3,4,5,4,20221009
1919,12,1195,1534,339,2150,6,4,1,1,2,20221009
1938,17,20,25,5,2169,2,3,2,5,4,20221009
1946,18,865,1058,193,2177,6,2,1,2,3,20221009
1951,12,80,101,21,2182,1,2,1,5,1,20221009
1983,4,475,606,131,2214,1,2,1,1,2,20221009
1993,14,1345,1546,201,2224,2,3,6,5,4,20221009
1003,4,800,891,91,1236,2,2,1,3,3,20221021
1009,8,545,652,107,1242,5,1,1,3,3,20221021
1048,8,1450,1607,157,1281,5,1,1,3,4,20221021
1090,6,1320,1549,229,1323,1,1,1,2,7,20221021
1107,20,1250,1377,127,1340,3,4,1,2,4,20221021
1110,1,860,946,86,1343,1,1,1,4,4,20221021
1117,5,1320,1669,349,1350,5,3,3,3,5,20221021
1204,13,725,812,87,1437,3,3,2,1,4,20221021
1213,9,455,589,134,1446,1,1,1,5,2,20221021
1278,1,1190,1538,348,1511,1,1,1,1,7,20221021
1285,4,910,1177,267,1518,5,3,3,3,6,20221021
1323,12,30,33,3,1556,2,4,1,1,2,20221021
1363,6,910,1122,212,1596,1,2,1,4,7,20221021
1397,20,1500,1756,256,1629,5,1,1,1,6,20221021
1399,2,960,1106,146,1631,5,1,1,4,3,20221021
1407,11,460,552,92,1639,4,1,1,5,4,20221021
1441,4,340,396,56,1673,3,2,1,5,5,20221021
1447,10,1065,1302,237,1679,5,3,5,3,7,20221021
1500,4,690,869,179,1732,3,1,1,3,2,20221021
1507,15,20,24,4,1739,6,3,3,4,1,20221021
1532,20,1320,1456,136,1764,3,3,4,5,3,20221021
1566,8,905,1005,100,1798,5,2,1,4,2,20221021
1572,17,880,1091,211,1804,1,1,1,5,5,20221021
1598,9,830,967,137,1830,3,3,4,1,3,20221021
1623,11,225,286,61,1855,1,4,1,2,2,20221021
1629,13,290,375,85,1861,4,2,1,2,2,20221021
1683,10,1420,1829,409,1915,6,2,1,3,6,20221021
1757,3,1140,1377,237,1989,3,2,1,5,7,20221021
1849,20,295,369,74,2081,6,4,1,2,4,20221021
1853,9,1425,1677,252,2085,5,2,1,4,1,20221021
1859,14,535,631,96,1588,2,2,1,4,3,20221021
1907,12,1230,1535,305,2138,4,2,1,3,3,20221021
1928,19,1170,1511,341,2159,2,1,1,4,2,20221021
1936,1,345,440,95,2167,4,2,1,1,7,20221021
1947,8,175,195,20,2178,2,2,1,5,6,20221021
1948,14,1060,1237,177,2179,6,4,1,5,5,20221021
1972,8,1315,1489,174,2203,2,1,1,2,7,20221021
1980,10,1270,1542,272,2211,1,4,1,5,7,20221021
1004,20,1190,1462,272,1237,3,3,2,2,3,20221026
1049,6,1390,1553,163,1282,6,1,1,5,7,20221026
1113,12,1330,1641,311,1346,3,3,3,5,2,20221026
1135,10,800,984,184,1368,4,1,1,4,2,20221026
1280,10,930,1058,128,1513,5,2,1,4,3,20221026
1303,8,970,1219,249,1536,5,1,1,1,4,20221026
1309,19,700,886,186,1542,6,1,1,3,2,20221026
1382,12,740,847,107,1373,4,3,6,2,6,20221026
1404,18,1170,1332,162,1636,6,1,1,2,1,20221026
1433,5,260,290,30,1665,1,2,1,2,3,20221026
1471,14,955,1240,285,1703,2,3,6,3,3,20221026
1488,5,70,84,14,1720,6,2,1,2,3,20221026
1537,2,1135,1459,324,1769,1,2,1,4,7,20221026
1539,2,460,587,127,1771,4,2,1,1,2,20221026
1550,12,1225,1399,174,1782,5,2,1,4,4,20221026
1571,18,75,93,18,1803,3,3,2,5,5,20221026
1575,20,960,1215,255,1807,3,1,1,2,4,20221026
1639,20,415,489,74,1871,1,1,1,2,4,20221026
1665,11,1235,1528,293,1897,6,1,1,5,6,20221026
1669,11,695,850,155,1901,4,1,1,1,4,20221026
1721,4,1185,1487,302,1953,6,2,1,4,4,20221026
1778,5,485,615,130,2010,1,2,1,2,1,20221026
1786,13,335,385,50,2018,2,2,1,1,4,20221026
1820,12,1145,1465,320,2052,2,1,1,4,4,20221026
1828,20,1205,1433,228,2060,1,1,1,5,4,20221026
1837,14,1475,1916,441,2069,5,4,1,2,6,20221026
1845,15,955,1224,269,2077,5,3,3,2,3,20221026
1889,14,750,936,186,2120,6,1,1,2,5,20221026
1912,10,15,19,4,2143,1,1,1,5,3,20221026
1005,9,470,525,55,1238,2,2,1,4,4,20221022
1024,9,1065,1172,107,1257,1,4,1,4,1,20221022
1054,12,765,951,186,1287,5,1,1,2,2,20221022
1059,16,1415,1558,143,1292,2,1,1,2,4,20221022
1068,2,1220,1473,253,1301,4,2,1,4,7,20221022
1094,14,500,614,114,1327,5,1,1,4,2,20221022
1095,12,525,595,70,1328,4,2,1,4,6,20221022
1142,1,920,1188,268,1375,3,1,1,1,3,20221022
1173,16,1385,1741,356,1406,6,2,1,2,1,20221022
1206,12,1430,1769,339,1439,5,3,5,2,4,20221022
1215,16,230,294,64,1448,2,1,1,3,3,20221022
1235,14,495,612,117,1468,3,1,1,1,1,20221022
1241,18,470,539,69,1474,3,1,1,4,2,20221022
1250,11,430,481,51,1483,1,2,1,1,4,20221022
1307,20,790,1023,233,1540,4,1,1,5,7,20221022
1311,15,760,927,167,1544,3,4,1,5,7,20221022
1367,9,1420,1800,380,1600,4,2,1,4,7,20221022
1386,6,285,331,46,1618,3,4,1,2,3,20221022
1419,12,335,389,54,1651,3,4,1,1,4,20221022
1451,16,1455,1750,295,1683,3,2,1,3,4,20221022
1493,15,215,265,50,1725,5,2,1,5,4,20221022
1521,11,320,366,46,1753,3,1,1,3,6,20221022
1531,18,490,553,63,1763,3,1,1,5,5,20221022
1542,5,480,613,133,1774,5,2,1,4,4,20221022
1544,14,1050,1346,296,1776,2,4,1,4,2,20221022
1630,9,560,683,123,1862,1,1,1,4,6,20221022
1684,10,245,291,46,1916,2,1,1,1,1,20221022
1726,17,550,618,68,1958,5,1,1,5,1,20221022
1810,17,200,242,42,2042,3,1,1,4,3,20221022
1860,4,35,42,7,2091,1,4,1,4,5,20221022
1914,10,1250,1568,318,2145,2,4,1,5,5,20221022
1937,15,340,421,81,2168,1,3,2,2,3,20221022
1986,3,825,1044,219,2217,3,1,1,3,5,20221022
1006,11,115,134,19,1239,4,2,1,1,2,20221001
1031,10,395,458,63,1264,5,2,1,4,2,20221001
1052,18,450,509,59,1285,6,2,1,3,1,20221001
1055,2,585,696,111,1288,5,2,1,4,1,20221001
1099,16,485,630,145,1332,3,1,1,3,6,20221001
1149,11,245,277,32,1382,1,2,1,3,6,20221001
1172,12,1255,1596,341,1405,5,1,1,3,2,20221001
1251,1,415,500,85,1484,3,2,1,1,5,20221001
1357,15,1055,1162,107,1590,5,1,1,1,4,20221001
1429,18,1245,1456,211,1661,5,1,1,4,4,20221001
1459,16,85,98,13,1691,5,2,1,3,3,20221001
1489,9,655,801,146,1721,3,1,1,5,4,20221001
1522,14,70,82,12,1754,4,4,1,3,2,20221001
1605,19,490,564,74,1837,1,2,1,5,7,20221001
1749,3,810,988,178,1981,4,3,6,4,5,20221001
1750,14,85,110,25,1982,3,2,1,4,3,20221001
1904,4,845,972,127,2135,1,1,1,1,1,20221001
1007,1,755,833,78,1240,4,2,1,2,4,20221027
1025,2,455,503,48,1258,3,4,1,1,1,20221027
1032,17,845,1023,178,1265,6,1,1,1,3,20221027
1074,1,630,761,131,1307,5,2,1,5,1,20221027
1103,3,1180,1508,328,1336,3,1,1,1,7,20221027
1189,9,680,825,145,1422,5,2,1,1,4,20221027
1197,18,940,1072,132,1430,6,2,1,4,6,20221027
1218,9,515,610,95,1451,6,1,1,5,5,20221027
1265,12,740,871,131,1498,1,1,1,1,2,20221027
1312,5,1285,1433,148,1545,5,1,1,3,1,20221027
1354,15,1280,1561,281,1587,6,2,1,5,6,20221027
1461,2,1465,1686,221,1693,4,1,1,5,5,20221027
1499,13,155,172,17,1731,4,1,1,1,6,20221027
1511,4,1410,1690,280,1743,5,2,1,4,1,20221027
1631,13,1055,1230,175,1863,3,2,1,3,2,20221027
1654,20,195,228,33,1886,4,3,6,3,2,20221027
1727,1,1375,1713,338,1959,6,2,1,4,2,20221027
1770,2,1030,1135,105,2002,3,3,5,2,6,20221027
1794,19,955,1163,208,2026,1,2,1,1,7,20221027
1841,1,820,955,135,2073,3,2,1,1,1,20221027
1861,19,305,390,85,2092,6,4,1,1,1,20221027
1878,4,1215,1382,167,2109,6,2,1,5,7,20221027
1881,7,455,538,83,2112,4,1,1,5,4,20221027
1885,18,1180,1482,302,2116,1,3,3,5,6,20221027
1944,12,345,381,36,2175,1,2,1,2,5,20221027
1974,17,1110,1241,131,2205,3,2,1,4,4,20221027
1008,12,935,1091,156,1241,4,2,1,2,2,20221005
1022,3,800,1017,217,1255,3,2,1,1,2,20221005
1096,5,1320,1602,282,1329,5,2,1,5,3,20221005
1131,19,990,1227,237,1364,3,1,1,3,5,20221005
1205,9,1270,1465,195,1438,5,1,1,5,1,20221005
1219,4,1405,1623,218,1452,4,3,2,2,3,20221005
1221,19,690,783,93,1454,3,3,6,4,7,20221005
1242,8,125,161,36,1475,4,3,6,4,1,20221005
1286,13,1270,1594,324,1519,5,2,1,4,7,20221005
1334,12,1150,1376,226,1567,2,4,1,5,4,20221005
1339,19,425,510,85,1572,3,3,2,1,2,20221005
1352,3,1355,1573,218,1585,2,2,1,2,5,20221005
1387,11,45,51,6,1619,5,3,5,1,6,20221005
1391,5,545,635,90,1623,4,2,1,4,4,20221005
1420,7,1015,1257,242,1652,4,1,1,4,5,20221005
1424,13,1060,1211,151,1656,3,1,1,4,4,20221005
1425,18,880,1030,150,1657,2,1,1,5,3,20221005
1442,6,1460,1619,159,1674,6,3,4,1,1,20221005
1443,14,1170,1425,255,1675,5,1,1,2,5,20221005
1457,8,1360,1633,273,1689,2,2,1,2,2,20221005
1492,18,1460,1664,204,1724,6,4,1,1,2,20221005
1503,1,625,751,126,1735,6,2,1,5,3,20221005
1676,7,695,841,146,1908,5,4,1,2,1,20221005
1699,10,475,560,85,1931,3,1,1,5,2,20221005
1763,4,1235,1392,157,1995,6,2,1,4,1,20221005
1783,9,120,138,18,2015,4,2,1,4,3,20221005
1838,14,505,581,76,2070,2,2,1,5,2,20221005
1848,15,565,674,109,2080,2,3,3,3,3,20221005
1873,16,260,336,76,2104,4,1,1,3,4,20221005
1935,12,495,550,55,2166,2,2,1,5,7,20221005
1011,16,205,256,51,1244,3,1,1,3,1,20221014
1088,12,540,668,128,1321,3,2,1,5,1,20221014
1130,20,1135,1388,253,1363,4,2,1,5,6,20221014
1137,13,145,169,24,1370,1,1,1,5,5,20221014
1147,2,1220,1479,259,1380,5,2,1,1,1,20221014
1184,9,110,122,12,1417,5,4,1,1,1,20221014
1201,17,555,614,59,1434,3,3,6,3,1,20221014
1202,9,715,919,204,1435,6,3,2,3,3,20221014
1246,14,480,570,90,1479,3,4,1,2,1,20221014
1259,10,610,764,154,1492,4,2,1,1,5,20221014
1291,6,1315,1623,308,1524,5,2,1,1,1,20221014
1306,3,1285,1507,222,1539,4,1,1,5,3,20221014
1326,7,950,1234,284,1559,5,2,1,4,7,20221014
1335,2,965,1251,286,1568,6,4,1,4,2,20221014
1348,18,115,133,18,1581,2,2,1,4,7,20221014
1374,17,1230,1466,236,1607,2,2,1,1,2,20221014
1375,20,1445,1775,330,1608,3,2,1,2,1,20221014
1376,17,1260,1607,347,1609,1,1,1,5,7,20221014
1434,15,1110,1360,250,1666,5,2,1,4,2,20221014
1454,18,155,173,18,1686,3,4,1,1,5,20221014
1474,13,265,305,40,1706,3,1,1,2,3,20221014
1480,10,60,69,9,1712,4,2,1,1,4,20221014
1543,15,650,831,181,1775,4,2,1,2,5,20221014
1559,3,115,143,28,1791,4,1,1,1,4,20221014
1569,2,1235,1591,356,1801,6,1,1,4,3,20221014
1570,8,60,67,7,1802,5,1,1,4,4,20221014
1574,6,1480,1647,167,1806,4,2,1,2,3,20221014
1578,1,665,840,175,1810,4,2,1,1,5,20221014
1622,14,590,672,82,1854,2,2,1,1,4,20221014
1640,4,350,400,50,1872,5,2,1,2,3,20221014
1658,12,700,825,125,1890,6,1,1,5,5,20221014
1675,17,1045,1151,106,1907,5,4,1,3,7,20221014
1693,14,185,239,54,1925,5,1,1,5,4,20221014
1704,9,645,775,130,1936,1,3,3,3,2,20221014
1773,14,85,98,13,2005,1,2,1,5,7,20221014
1780,5,890,1095,205,2012,1,1,1,3,4,20221014
1785,1,1365,1658,293,2017,3,3,2,3,7,20221014
1858,15,1460,1776,316,2090,6,1,1,1,2,20221014
1871,14,330,397,67,2102,6,1,1,3,3,20221014
1905,13,960,1146,186,2136,2,1,1,2,6,20221014
1952,14,295,366,71,2183,1,3,2,3,1,20221014
1958,9,805,1024,219,2189,5,1,1,4,5,20221014
1967,20,1375,1577,202,2198,2,3,3,4,7,20221014
1994,13,530,640,110,2225,2,1,1,2,7,20221014
1012,3,925,1092,167,1245,3,1,1,1,3,20221016
1056,9,285,368,83,1289,4,4,1,4,6,20221016
1085,8,405,449,44,1318,5,2,1,4,5,20221016
1154,7,980,1186,206,1387,1,1,1,4,1,20221016
1155,17,230,262,32,1388,3,2,1,4,3,20221016
1158,12,1230,1594,364,1391,1,4,1,4,6,20221016
1159,2,1230,1492,262,1392,1,2,1,5,1,20221016
1199,3,825,1021,196,1432,1,4,1,2,6,20221016
1247,6,1175,1377,202,1480,4,2,1,3,2,20221016
1276,3,1355,1674,319,1509,3,2,1,1,2,20221016
1277,7,925,1148,223,1510,2,2,1,1,4,20221016
1333,18,125,146,21,1566,5,2,1,5,3,20221016
1379,6,1415,1711,296,1612,4,2,1,5,5,20221016
1393,7,395,447,52,1625,1,2,1,4,4,20221016
1396,13,1405,1813,408,1628,3,2,1,5,2,20221016
1473,13,210,256,46,1705,3,2,1,1,6,20221016
1484,13,1390,1558,168,1716,2,2,1,4,3,20221016
1486,18,170,210,40,1718,3,2,1,4,1,20221016
1502,1,910,1115,205,1734,5,2,1,5,2,20221016
1504,19,800,947,147,1736,6,2,1,2,3,20221016
1514,14,1190,1346,156,1746,6,1,1,2,3,20221016
1524,7,25,31,6,1756,4,2,1,3,2,20221016
1528,4,1210,1491,281,1760,4,4,1,2,4,20221016
1551,11,145,171,26,1783,5,3,2,4,3,20221016
1603,16,1045,1203,158,1835,4,4,1,5,7,20221016
1641,7,1405,1784,379,1873,5,2,1,5,4,20221016
1679,14,285,326,41,1911,4,4,1,5,4,20221016
1682,12,1225,1579,354,1914,4,1,1,3,1,20221016
1720,17,1480,1671,191,1952,2,2,1,5,2,20221016
1731,1,1075,1382,307,1963,2,4,1,2,4,20221016
1748,20,1355,1656,301,1980,2,1,1,3,5,20221016
1766,6,635,756,121,1998,6,1,1,5,5,20221016
1791,2,780,993,213,2023,6,1,1,3,7,20221016
1804,20,15,19,4,2036,4,1,1,3,5,20221016
1811,8,475,601,126,2043,5,1,1,5,4,20221016
1816,20,625,739,114,2048,4,3,3,3,2,20221016
1817,18,1250,1471,221,2049,6,2,1,4,6,20221016
1901,7,425,488,63,2132,4,4,1,5,6,20221016
1911,12,15,18,3,2142,3,3,3,5,4,20221016
1924,9,995,1187,192,2155,6,2,1,5,7,20221016
1943,6,595,668,73,2174,1,2,1,1,7,20221016
1984,5,810,942,132,2215,2,1,1,5,1,20221016
1995,6,550,643,93,2226,4,2,1,4,7,20221016
1013,12,450,564,114,1246,2,2,1,1,3,20221020
1020,12,1105,1431,326,1253,3,1,1,5,2,20221020
1041,14,205,258,53,1274,2,3,3,4,5,20221020
1053,4,610,760,150,1286,4,1,1,2,7,20221020
1058,2,890,1149,259,1291,5,4,1,4,6,20221020
1105,15,170,214,44,1338,2,1,1,1,1,20221020
1114,11,400,461,61,1347,1,2,1,3,3,20221020
1151,1,45,53,8,1384,1,2,1,3,5,20221020
1168,20,565,693,128,1401,5,4,1,3,6,20221020
1176,8,330,426,96,1409,6,3,6,1,2,20221020
1225,13,1315,1553,238,1458,4,2,1,5,6,20221020
1279,17,455,509,54,1512,3,2,1,5,3,20221020
1284,4,680,794,114,1517,2,1,1,2,7,20221020
1299,18,960,1096,136,1532,2,1,1,5,3,20221020
1308,16,715,891,176,1541,4,2,1,4,3,20221020
1318,19,970,1130,160,1551,5,1,1,4,1,20221020
1319,11,1315,1455,140,1552,5,1,1,2,4,20221020
1329,5,595,677,82,1562,5,1,1,5,4,20221020
1343,15,1000,1236,236,1576,2,1,1,4,4,20221020
1353,6,1395,1597,202,1586,4,2,1,5,2,20221020
1365,14,865,1017,152,1598,6,2,1,2,6,20221020
1380,3,850,994,144,1613,4,1,1,4,1,20221020
1414,8,915,1174,259,1646,6,1,1,3,7,20221020
1418,20,1185,1323,138,1650,4,1,1,3,2,20221020
1432,4,165,182,17,1664,6,3,5,1,3,20221020
1440,2,1025,1142,117,1672,5,3,5,5,3,20221020
1479,15,1055,1175,120,1711,1,4,1,3,2,20221020
1498,4,1380,1654,274,1730,4,2,1,5,5,20221020
1517,15,1480,1682,202,1749,6,2,1,2,7,20221020
1536,2,285,365,80,1768,6,1,1,2,6,20221020
1545,5,1015,1249,234,1777,1,3,3,4,7,20221020
1546,13,1060,1370,310,1778,4,3,2,5,2,20221020
1563,7,1055,1285,230,1795,4,2,1,2,7,20221020
1583,10,15,17,2,1815,4,1,1,5,1,20221020
1601,8,465,516,51,1833,1,1,1,5,7,20221020
1655,16,1425,1663,238,1887,6,2,1,5,2,20221020
1668,2,50,58,8,1900,6,3,4,3,2,20221020
1697,10,1200,1494,294,1929,3,1,1,2,1,20221020
1701,14,925,1070,145,1933,2,3,3,1,4,20221020
1728,14,55,64,9,1960,5,3,2,3,1,20221020
1751,11,1180,1440,260,1983,2,2,1,5,2,20221020
1762,15,1190,1477,287,1994,1,2,1,5,5,20221020
1803,6,1475,1818,343,2035,1,4,1,4,6,20221020
1874,12,950,1234,284,2105,2,1,1,4,5,20221020
1962,17,825,1060,235,2193,6,1,1,1,6,20221020
1014,7,1220,1469,249,1247,5,1,1,5,5,20221012
1026,1,390,434,44,1259,4,1,1,5,4,20221012
1063,1,330,388,58,1296,5,3,4,5,4,20221012
1072,4,1070,1331,261,1305,4,1,1,2,3,20221012
1078,9,970,1104,134,1311,5,1,1,1,6,20221012
1125,9,110,132,22,1358,6,2,1,3,3,20221012
1190,14,515,632,117,1423,6,4,1,2,5,20221012
1195,4,950,1128,178,1428,6,1,1,1,1,20221012
1228,1,1280,1566,286,1461,2,2,1,1,4,20221012
1231,10,455,551,96,1464,1,4,1,2,3,20221012
1275,11,80,101,21,1508,4,3,5,2,6,20221012
1315,8,1220,1483,263,1548,1,1,1,3,7,20221012
1336,4,1290,1444,154,1569,6,4,1,5,1,20221012
1341,3,1125,1371,246,1574,1,1,1,4,7,20221012
1371,1,620,767,147,1604,5,2,1,3,6,20221012
1412,17,300,380,80,1644,4,1,1,4,7,20221012
1462,2,1310,1532,222,1694,5,1,1,3,6,20221012
1487,8,405,480,75,1719,2,4,1,2,1,20221012
1506,16,210,244,34,1738,4,2,1,4,1,20221012
1535,3,160,199,39,1767,6,4,1,2,5,20221012
1553,19,460,582,122,1785,6,2,1,4,7,20221012
1647,17,535,614,79,1879,1,3,2,3,2,20221012
1653,14,1390,1591,201,1885,3,3,5,1,4,20221012
1656,12,1130,1432,302,1888,2,2,1,3,2,20221012
1718,20,1040,1216,176,1950,5,1,1,5,3,20221012
1741,15,560,724,164,1973,4,2,1,5,6,20221012
1805,6,950,1170,220,2037,5,1,1,1,3,20221012
1831,2,1180,1378,198,2063,2,1,1,5,2,20221012
1916,8,250,319,69,2147,3,4,1,3,1,20221012
1917,16,760,926,166,2148,5,1,1,3,7,20221012
1920,14,180,229,49,2151,1,2,1,3,3,20221012
1953,7,150,186,36,2184,5,2,1,3,5,20221012
1961,15,1290,1533,243,2192,3,1,1,3,7,20221012
1987,14,830,1059,229,2218,6,1,1,3,5,20221012
1989,6,95,119,24,2220,4,1,1,3,3,20221012
1015,6,955,1213,258,1248,1,2,1,5,1,20221015
1046,8,755,845,90,1279,4,1,1,3,1,20221015
1075,7,345,432,87,1308,6,1,1,4,4,20221015
1086,7,1390,1660,270,1319,5,1,1,2,5,20221015
1217,3,685,783,98,1450,5,2,1,4,5,20221015
1233,2,1305,1470,165,1466,1,1,1,2,1,20221015
1304,19,1325,1487,162,1537,6,2,1,4,1,20221015
1377,2,660,792,132,1610,1,2,1,4,3,20221015
1381,13,1415,1579,164,1614,5,2,1,1,1,20221015
1400,15,270,314,44,1632,5,1,1,4,7,20221015
1402,12,225,277,52,1634,1,3,5,4,2,20221015
1431,19,165,195,30,1663,4,3,4,3,4,20221015
1435,18,1370,1624,254,1667,2,1,1,1,2,20221015
1444,13,870,1042,172,1676,4,2,1,5,2,20221015
1455,19,95,109,14,1687,1,2,1,4,4,20221015
1567,10,580,652,72,1799,3,1,1,4,4,20221015
1580,20,1315,1651,336,1812,6,1,1,5,6,20221015
1587,20,1240,1566,326,1819,6,1,1,2,7,20221015
1594,6,1265,1529,264,1826,4,2,1,2,6,20221015
1610,6,905,1051,146,1842,6,2,1,3,3,20221015
1650,14,815,918,103,1882,3,1,1,1,4,20221015
1667,6,20,22,2,1899,2,1,1,1,1,20221015
1707,20,1220,1447,227,1939,4,1,1,1,1,20221015
1775,13,1365,1618,253,2007,2,1,1,5,4,20221015
1777,16,860,1094,234,2009,3,1,1,2,7,20221015
1796,2,835,1012,177,2028,2,1,1,1,1,20221015
1818,11,100,120,20,2050,3,2,1,1,6,20221015
1844,15,535,604,69,2076,1,2,1,4,7,20221015
1863,1,1245,1425,180,2094,5,2,1,5,3,20221015
1883,11,290,372,82,2114,3,2,1,1,1,20221015
1016,4,1325,1536,211,1249,1,2,1,1,4,20221006
1044,20,1400,1555,155,1277,4,2,1,1,6,20221006
1083,10,1300,1635,335,1316,3,1,1,3,1,20221006
1101,10,1375,1683,308,1334,5,3,2,2,1,20221006
1119,20,635,781,146,1352,6,2,1,1,3,20221006
1121,17,1095,1393,298,1354,4,1,1,4,7,20221006
1161,17,785,921,136,1394,6,2,1,5,7,20221006
1209,1,370,432,62,1442,4,2,1,2,2,20221006
1260,15,145,187,42,1493,3,2,1,5,6,20221006
1325,17,1375,1782,407,1558,6,4,1,5,5,20221006
1344,14,810,974,164,1577,2,2,1,3,6,20221006
1356,15,1385,1626,241,1589,1,2,1,5,4,20221006
1358,19,200,247,47,1591,1,2,1,1,3,20221006
1361,5,420,477,57,1594,4,2,1,3,5,20221006
1470,8,1215,1347,132,1702,2,2,1,4,2,20221006
1552,9,870,1018,148,1784,5,2,1,4,4,20221006
1584,9,330,379,49,1816,6,1,1,1,1,20221006
1593,18,1500,1716,216,1825,1,2,1,1,4,20221006
1611,3,575,720,145,1843,1,4,1,3,7,20221006
1643,2,620,758,138,1875,2,4,1,2,5,20221006
1646,17,1025,1170,145,1878,3,4,1,1,5,20221006
1651,10,955,1219,264,1883,2,1,1,3,3,20221006
1689,10,170,220,50,1921,3,1,1,2,4,20221006
1708,10,300,348,48,1940,5,2,1,3,1,20221006
1722,12,195,243,48,1954,1,1,1,3,5,20221006
1724,10,1065,1299,234,1956,2,2,1,5,3,20221006
1735,10,730,847,117,1967,5,4,1,2,7,20221006
1760,8,940,1067,127,1992,3,1,1,3,4,20221006
1843,20,1325,1562,237,2075,6,1,1,4,7,20221006
1847,20,595,656,61,2079,5,2,1,5,7,20221006
1867,4,740,878,138,2098,1,2,1,2,5,20221006
1970,16,260,337,77,2201,4,2,1,4,1,20221006
1017,7,540,697,157,1250,5,4,1,1,1,20221024
1098,3,1200,1440,240,1331,4,1,1,3,6,20221024
1109,1,795,987,192,1342,2,3,2,5,6,20221024
1112,2,425,536,111,1345,4,1,1,5,1,20221024
1145,5,495,608,113,1378,4,3,5,2,5,20221024
1156,14,180,216,36,1389,4,2,1,1,7,20221024
1164,2,855,1007,152,1397,1,1,1,4,5,20221024
1181,15,700,904,204,1414,2,2,1,2,2,20221024
1196,16,920,1145,225,1429,4,4,1,2,5,20221024
